SIZE LAYERS EPOCH_0 EPOCH_1 EPOCH_2 EPOCH_3 EPOCH_4 F_UNTRUNC F_TRUNC F_TRUNC_SIG_TRUNC
6 12 5986 6163 6119 6214 6236 6236 5990 5990
6 13 6078 6153 6197 6262 6215 6215 6054 6054
6 14 6106 6071 6139 6196 6270 6270 5858 5858
6 15 6158 6177 6152 6321 6316 6316 6064 6064
6 16 6150 6116 6200 6231 6234 6234 5773 5773
6 17 6167 6274 6182 6363 6237 6237 5942 5942
6 18 6151 6115 6288 6337 6359 6359 6236 6236
6 19 6182 6102 6382 6343 6336 6336 5975 5975
6 20 6130 6137 6275 6298 6312 6312 6036 6036
7 1 2587 2550 2433 2605 2909 2909 2967 2967
7 2 3795 3966 4054 4025 4183 4183 3301 3301
7 3 5338 5294 5313 5257 5393 5393 5286 5286
7 4 5541 5838 5932 6045 5991 5991 5815 5815
7 5 6021 6292 6308 6186 6316 6316 6091 6091
7 6 6555 6452 6569 6691 6755 6755 6605 6605
7 7 6636 6616 6628 6767 6779 6779 6484 6484
7 8 6690 6846 6860 6958 6898 6898 6714 6714
7 9 6789 6854 6940 6903 6901 6901 6614 6614
7 10 6614 6836 6864 6797 6939 6939 6828 6828
7 11 6900 7035 7027 7020 7044 7044 6890 6890
7 12 6921 6861 7032 7167 7109 7109 6840 6840
7 13 6895 6956 7124 7113 7159 7159 6905 6905
7 14 7094 7076 7207 7171 7125 7125 6965 6965
7 15 6900 7190 7129 7218 7247 7247 7110 7110
7 16 7028 7094 7296 7273 7195 7195 7109 7109
7 17 6915 7114 7144 7115 7276 7276 7060 7060
7 18 7076 7143 7290 7320 7278 7278 7043 7043
7 19 7043 7244 7279 7314 7263 7263 7089 7089
7 20 6984 6983 7219 7217 7298 7298 6880 6880
8 1 1939 1960 1978 2074 1963 1963 1946 1946
8 2 4125 4304 4369 4401 4425 4425 3857 3857
8 3 3791 4942 4909 4676 4879 4879 4696 4696
8 4 5061 6090 6201 6256 6214 6214 6190 6190
8 5 6607 6750 6755 6761 6688 6688 6273 6273
8 6 6636 6775 6761 6800 6892 6892 6690 6690
8 7 7004 7159 7054 7146 7107 7107 6938 6938
8 8 7056 7254 7255 7063 7197 7197 6958 6958
8 9 7193 7142 7201 7188 7239 7239 7048 7048
8 10 7271 7382 7445 7477 7409 7409 7105 7105
8 11 7298 7419 7369 7457 7503 7503 7357 7357
8 12 7381 7533 7572 7581 7663 7663 7378 7378
8 13 7443 7552 7564 7661 7603 7603 7286 7286
8 14 7377 7596 7568 7652 7677 7677 7448 7448
8 15 7389 7555 7583 7603 7596 7596 7319 7319
8 16 7491 7544 7638 7650 7680 7680 7343 7343
8 17 7469 7757 7809 7836 7812 7812 7573 7573
8 18 7579 7663 7720 7783 7724 7724 7536 7536
8 19 7590 7691 7780 7810 7789 7789 7577 7577
8 20 7634 7703 7675 7846 7828 7828 7577 7577
9 1 1134 1011 1056 2370 2551 2551 2705 2705
9 2 3582 4229 4260 4406 4408 4408 3824 3824
9 3 5875 5827 6023 6006 5976 5976 5908 5908
9 4 6422 6391 6665 6690 6568 6568 6493 6493
9 5 7005 7320 7403 7323 7397 7397 7250 7250
9 6 7350 7394 7336 7434 7388 7388 7195 7195
9 7 7652 7706 7795 7833 7894 7894 7733 7733
9 8 7817 7905 7864 7852 7838 7838 7814 7814
9 9 7717 7858 7876 7857 7892 7892 7567 7567
9 10 7887 8115 8051 8149 8102 8102 7781 7781
9 11 7868 7928 7943 8063 8021 8021 7752 7752
9 12 7968 8044 8086 8033 8104 8104 7942 7942
9 13 8040 8089 8110 8125 8239 8239 8142 8142
9 14 8000 8205 8147 8176 8228 8228 8037 8037
9 15 8022 8154 8248 8255 8334 8334 8080 8080
9 16 8107 8157 8232 8260 8340 8340 8119 8119
9 17 8038 8230 8239 8350 8383 8383 8130 8130
9 18 8143 8217 8304 8366 8403 8403 8264 8264
9 19 8135 8275 8333 8334 8345 8345 8166 8166
9 20 8194 8270 8305 8338 8371 8371 8223 8223
10 1 2043 2238 2153 2037 2081 2081 2150 2150
10 2 4161 4514 4393 4365 4713 4713 4128 4128
10 3 4588 4562 4490 4687 4658 4658 4440 4440
10 4 6319 6693 6881 6842 6928 6928 6666 6666
10 5 6725 7218 7315 7368 7288 7288 7081 7081
10 6 6993 7157 7199 7211 7370 7370 7189 7189
10 7 7587 7825 7788 7918 7980 7980 7889 7889
10 8 7833 8020 8014 8060 8004 8004 7846 7846
10 9 7707 7971 7990 8061 8111 8111 7921 7921
10 10 8036 8116 8213 8184 8175 8175 8094 8094
10 11 7990 8236 8215 8218 8320 8320 8121 8121
10 12 8069 8190 8202 8148 8284 8284 8122 8122
10 13 8146 8227 8270 8299 8380 8380 8259 8259
10 14 8102 8323 8400 8392 8456 8456 8220 8220
10 15 8170 8413 8474 8465 8444 8444 8237 8237
10 16 8132 8416 8451 8499 8540 8540 8365 8365
10 17 8169 8393 8399 8411 8497 8497 8350 8350
10 18 8200 8379 8485 8529 8527 8527 8307 8307
10 19 8159 8397 8495 8512 8528 8528 8389 8389
10 20 8350 8420 8500 8570 8600 8600 8317 8317
11 1 2090 2089 2091 2059 2089 2089 2063 2063
11 2 3896 4414 4359 4338 4306 4306 4338 4338
11 3 5318 5223 5348 5367 5253 5253 5222 5222
11 4 6521 6638 6810 6788 6859 6859 6580 6580
11 5 7095 7204 7311 7290 7334 7334 7199 7199
11 6 7454 7473 7480 7587 7475 7475 7299 7299
11 7 7749 7860 8058 8020 8066 8066 8026 8026
11 8 7952 8131 8141 8146 8295 8295 8140 8140
11 9 8291 8345 8455 8442 8467 8467 8384 8384
11 10 8301 8449 8438 8403 8447 8447 8343 8343
11 11 8314 8352 8393 8418 8415 8415 8245 8245
11 12 8401 8472 8496 8549 8566 8566 8434 8434
11 13 8415 8541 8545 8662 8661 8661 8531 8531
11 14 8487 8516 8476 8585 8651 8651 8568 8568
11 15 8375 8421 8551 8645 8623 8623 8419 8419
11 16 8505 8585 8625 8679 8691 8691 8347 8347
11 17 8469 8557 8653 8687 8704 8704 8505 8505
11 18 8468 8597 8713 8702 8713 8713 8601 8601
11 19 8251 8601 8596 8708 8736 8736 8467 8467
11 20 8529 8628 8754 8714 8795 8795 8648 8648
12 1 2152 2103 1941 1939 2043 2043 1768 1768
12 2 2093 2099 2040 1966 2104 2104 2114 2114
12 3 2851 2831 2824 3625 3708 3708 3333 3333
12 4 6613 6780 6918 6898 6818 6818 6535 6535
12 5 7654 7856 7991 7909 7924 7924 7662 7662
12 6 7813 8033 8101 8124 8046 8046 7835 7835
12 7 8051 8282 8261 8296 8311 8311 8280 8280
12 8 7783 8069 8314 8273 8355 8355 8091 8091
12 9 8273 8417 8398 8499 8534 8534 8419 8419
12 10 8321 8480 8553 8504 8574 8574 8451 8451
12 11 8442 8548 8600 8636 8686 8686 8428 8428
12 12 8505 8612 8618 8749 8730 8730 8610 8610
12 13 8470 8583 8610 8669 8718 8718 8496 8496
12 14 8615 8784 8726 8747 8802 8802 8714 8714
12 15 8544 8681 8749 8752 8852 8852 8711 8711
12 16 8534 8652 8734 8754 8733 8733 8603 8603
12 17 8637 8753 8721 8841 8816 8816 8691 8691
12 18 8604 8743 8811 8904 8914 8914 8701 8701
12 19 8587 8766 8841 8873 8911 8911 8734 8734
12 20 8564 8756 8837 8875 8888 8888 8777 8777
13 1 2085 2101 2078 2087 2077 2077 2262 2262
13 2 3525 3536 3823 3636 3836 3836 4352 4352
13 3 5544 6127 6019 6395 6419 6419 6174 6174
13 4 7039 7505 7424 7555 7532 7532 7431 7431
13 5 7587 7897 7936 7941 8008 8008 7858 7858
13 6 8110 8383 8321 8395 8421 8421 8345 8345
13 7 7727 7768 7756 7748 7772 7772 7713 7713
13 8 7979 8174 8181 8302 8285 8285 8055 8055
13 9 8450 8544 8651 8602 8658 8658 8071 8071
13 10 8516 8723 8697 8816 8823 8823 8623 8623
13 11 8657 8707 8725 8690 8795 8795 8528 8528
13 12 8636 8793 8867 8819 8873 8873 8704 8704
13 13 8674 8759 8793 8810 8825 8825 8738 8738
13 14 8642 8709 8769 8871 8886 8886 8799 8799
13 15 8688 8881 8964 8978 8988 8988 8708 8708
13 16 8639 8810 8857 8906 8950 8950 8841 8841
13 17 8624 8902 8893 8971 9019 9019 8783 8783
13 18 8678 8806 8960 8945 8974 8974 8736 8736
13 19 8803 8856 8953 8982 8950 8950 8517 8517
13 20 8862 8882 8948 8980 9008 9008 8828 8828
14 1 2091 2112 2042 2096 2100 2100 2376 2376
14 2 3629 3695 3669 4400 4856 4856 4026 4026
14 3 4833 5570 5855 5520 6233 6233 5611 5611
14 4 6323 6303 6488 6234 6509 6509 6195 6195
14 5 7464 7988 8001 8083 7994 7994 7861 7861
14 6 8273 8319 8209 8401 8450 8450 8319 8319
14 7 8171 8350 8434 8318 8475 8475 8240 8240
14 8 8259 8442 8494 8479 8501 8501 8289 8289
14 9 8539 8642 8807 8816 8837 8837 8746 8746
14 10 8627 8780 8806 8809 8788 8788 8631 8631
14 11 8563 8617 8782 8826 8825 8825 8641 8641
14 12 8508 8691 8790 8838 8810 8810 8708 8708
14 13 8686 8853 8957 8987 8960 8960 8692 8692
14 14 8729 8851 8889 8946 8974 8974 8830 8830
14 15 8754 8921 8899 8961 8966 8966 8914 8914
14 16 8709 8833 8913 8924 8967 8967 8790 8790
14 17 8718 8919 8964 9004 9004 9004 8861 8861
14 18 8804 8960 9006 9033 9074 9074 8946 8946
14 19 8664 8896 8903 9024 9009 9009 8836 8836
14 20 8865 8965 9018 9062 9053 9053 8907 8907
15 1 2048 2104 2106 2117 2086 2086 2396 2396
15 2 3410 3483 4138 3971 3824 3824 3212 3212
15 3 3866 4351 5040 4916 5248 5248 5046 5046
15 4 6621 6749 6953 7033 7360 7360 7510 7510
15 5 7012 7198 7317 7463 7431 7431 7356 7356
15 6 7852 7984 8165 8254 8368 8368 8230 8230
15 7 8413 8556 8512 8426 8532 8532 8464 8464
15 8 8497 8484 8532 8607 8630 8630 8311 8311
15 9 8282 8571 8657 8707 8723 8723 8513 8513
15 10 8520 8739 8747 8695 8759 8759 8608 8608
15 11 8683 8874 8910 8885 8906 8906 8691 8691
15 12 8777 8858 8941 8982 8967 8967 8872 8872
15 13 8769 8845 8887 8916 8927 8927 8802 8802
15 14 8815 8927 8967 9033 9025 9025 8924 8924
15 15 8756 8938 8959 9075 9115 9115 8991 8991
15 16 8773 8944 9021 9074 9080 9080 8878 8878
15 17 8754 8839 8949 9061 9096 9096 8906 8906
15 18 8804 8948 8964 8985 9066 9066 8805 8805
15 19 8803 9035 9089 9114 9123 9123 9054 9054
15 20 8865 9005 9071 9121 9127 9127 9062 9062
16 1 2096 2078 2084 1965 1976 1976 1980 1980
16 2 3040 3062 3212 3062 3181 3181 3420 3420
16 3 4428 4609 4716 5306 5350 5350 5581 5581
16 4 6561 6785 7265 7154 7296 7296 7152 7152
16 5 7769 7911 8205 8286 8218 8218 8095 8095
16 6 8123 8223 8402 8345 8368 8368 8211 8211
16 7 8345 8446 8560 8546 8539 8539 8457 8457
16 8 8696 8762 8792 8825 8795 8795 8685 8685
16 9 8570 8746 8718 8848 8804 8804 8680 8680
16 10 8679 8853 8807 8900 8897 8897 8607 8607
16 11 8701 8950 8939 9016 8906 8906 8810 8810
16 12 8792 8880 9000 9049 9012 9012 8845 8845
16 13 8750 8874 8911 8967 8910 8910 8810 8810
16 14 8774 8878 8997 8997 9058 9058 8949 8949
16 15 8768 8976 9076 9053 9009 9009 8883 8883
16 16 8094 8190 8266 9123 9160 9160 9047 9047
16 17 8825 8962 9009 9066 9142 9142 8950 8950
16 18 8862 8873 9019 9113 9158 9158 9027 9027
16 19 8876 9024 9059 9095 9119 9119 8773 8773
16 20 8871 9039 9082 9117 9167 9167 9073 9073
17 1 1947 1896 1880 1921 1949 1949 1888 1888
17 2 3978 4555 4528 4703 4676 4676 4352 4352
17 3 5329 5868 6115 6009 6094 6094 5804 5804
17 4 6808 6958 6956 7148 7368 7368 7123 7123
17 5 7535 8140 8210 8283 8123 8123 8052 8052
17 6 7849 7966 8013 8128 8112 8112 7998 7998
17 7 8289 8670 8712 8742 8763 8763 8661 8661
17 8 8383 8352 8567 8428 8540 8540 8408 8408
17 9 8370 8611 8657 8559 8753 8753 8393 8393
17 10 8653 8777 8810 8843 8892 8892 8701 8701
17 11 8474 8680 8798 8874 8912 8912 8840 8840
17 12 8667 8695 8874 8916 8942 8942 8809 8809
17 13 8638 8785 8769 8916 8922 8922 8842 8842
17 14 8847 8974 9098 9104 9127 9127 8936 8936
17 15 8792 8897 8968 8990 9032 9032 8887 8887
17 16 8727 8860 8983 9026 9073 9073 8887 8887
17 17 8725 8963 9014 9075 9076 9076 8962 8962
17 18 8871 9002 9096 9123 9181 9181 9023 9023
17 19 8862 8993 9025 9093 9081 9081 8897 8897
17 20 8794 9031 9057 9115 9143 9143 9101 9101
18 1 2148 2511 3067 2454 2630 2630 2332 2332
18 2 3023 3195 2986 3044 2964 2964 3391 3391
18 3 3050 3613 3580 3632 3655 3655 3628 3628
18 4 6259 6440 6316 6242 6312 6312 6048 6048
18 5 8084 8112 8261 8327 8292 8292 8235 8235
18 6 8021 8234 8292 8283 8307 8307 8333 8333
18 7 8171 8518 8581 8625 8593 8593 8486 8486
18 8 8379 8623 8605 8737 8737 8737 8621 8621
18 9 8642 8744 8769 8879 8836 8836 8553 8553
18 10 8621 8790 8918 8921 8907 8907 8795 8795
18 11 8600 8693 8860 8829 8875 8875 8800 8800
18 12 8720 8825 8943 8935 8992 8992 8716 8716
18 13 8714 8814 8965 8930 8960 8960 8896 8896
18 14 8703 8997 9036 9037 9086 9086 8976 8976
18 15 8709 8949 9025 9021 8995 8995 8862 8862
18 16 8841 8971 9091 9043 9103 9103 9066 9066
18 17 8700 9003 9028 9116 9167 9167 8989 8989
18 18 8892 8996 9077 9038 9099 9099 9064 9064
18 19 8891 9048 9108 9151 9188 9188 9054 9054
18 20 8902 9034 9130 9118 9168 9168 9044 9044
19 1 980 2077 1960 2063 2067 2067 2065 2065
19 2 3478 3839 3633 3846 3614 3614 3651 3651
19 3 2809 2905 3067 3085 3072 3072 2880 2880
19 4 6702 7696 7617 7687 7757 7757 7712 7712
19 5 8050 8214 8214 8290 8331 8331 8171 8171
19 6 6359 7345 7437 7601 7539 7539 7341 7341
19 7 8075 8195 8280 8226 8279 8279 8103 8103
19 8 8304 8655 8666 8737 8756 8756 8736 8736
19 9 8470 8563 8742 8797 8874 8874 8823 8823
19 10 8590 8810 8835 8901 8932 8932 8902 8902
19 11 8705 8799 8926 8986 9013 9013 8861 8861
19 12 8731 8854 8891 8984 8922 8922 8869 8869
19 13 8637 8818 8840 8956 8950 8950 8813 8813
19 14 8706 8859 9045 9087 9132 9132 9041 9041
19 15 8883 9082 9161 9130 9191 9191 8992 8992
19 16 8783 8948 9089 9144 9179 9179 9081 9081
19 17 8712 8936 9031 9072 9133 9133 8997 8997
19 18 8866 8988 9066 9089 9120 9120 8992 8992
19 19 8946 9104 9126 9202 9262 9262 9155 9155
19 20 8876 9023 9097 9150 9174 9174 9042 9042
20 1 2066 2044 2080 2085 2115 2115 2087 2087
20 2 1999 3792 4041 4070 3890 3890 3323 3323
20 3 3023 2956 2931 2973 2924 2924 3218 3218
20 4 2974 2963 2897 3028 2960 2960 3453 3453
20 5 7603 7815 7901 8136 8191 8191 8040 8040
20 6 7462 8215 8413 8490 8550 8550 8496 8496
20 7 8519 8697 8644 8781 8781 8781 8612 8612
20 8 8373 8506 8651 8722 8748 8748 8700 8700
20 9 8204 8390 8568 8719 8582 8582 8557 8557
20 10 8678 8816 8884 8872 8945 8945 8879 8879
20 11 8723 8852 8940 9022 8997 8997 8837 8837
20 12 8782 8924 8981 9004 8967 8967 8806 8806
20 13 8775 8854 8948 8994 8975 8975 8888 8888
20 14 8734 8992 9057 9065 9102 9102 8912 8912
20 15 8837 9029 9035 9110 9107 9107 9011 9011
20 16 8753 8985 9001 9006 9121 9121 9022 9022
20 17 8794 8974 9109 9110 9182 9182 8963 8963
20 18 8731 8940 9064 9117 9061 9061 8982 8982
20 19 8772 8940 9033 9082 9173 9173 8916 8916
20 20 8779 8970 9094 9122 9172 9172 9079 9079
21 1 2066 1933 2093 2071 2079 2079 2138 2138
21 2 2648 2861 2988 2947 2950 2950 2971 2971
21 3 5459 5184 5234 5553 5302 5302 5343 5343
21 4 6903 6983 6772 6719 6981 6981 6983 6983
21 5 7085 8111 8150 8160 8211 8211 8154 8154
21 6 8105 8367 8518 8582 8651 8651 8625 8625
21 7 7974 8225 8167 8140 8277 8277 8221 8221
21 8 8635 8718 8812 8829 8837 8837 8764 8764
21 9 8610 8734 8783 8780 8848 8848 8760 8760
21 10 8612 8839 8902 8963 8949 8949 8773 8773
21 11 8627 8808 8906 8945 8972 8972 8813 8813
21 12 8675 8848 8910 8957 8955 8955 8856 8856
21 13 8699 8898 8966 9015 9021 9021 8850 8850
21 14 8703 8958 9044 9034 9089 9089 8937 8937
21 15 8073 8908 8974 8988 9020 9020 8959 8959
21 16 8768 9002 9057 9108 9125 9125 9011 9011
21 17 8829 8991 9081 9081 9163 9163 9067 9067
21 18 8853 8972 9098 9072 9139 9139 9014 9014
21 19 8836 9003 9025 9163 9131 9131 9051 9051
21 20 8887 9083 9130 9186 9226 9226 9131 9131
22 1 1965 1932 2067 1930 1919 1919 2380 2380
22 2 1927 2771 2962 2699 2932 2932 2936 2936
22 3 3012 3033 2947 3054 3001 3001 2991 2991
22 4 5375 6181 5959 6108 6244 6244 6173 6173
22 5 8178 8311 8367 8288 8361 8361 8332 8332
