SIZE LAYERS EPOCH_0 EPOCH_1 EPOCH_2 EPOCH_3 EPOCH_4 F_UNTRUNC F_TRUNC F_TRUNC_SIG_TRUNC
1 1 1703 2032 2040 2040 2040 2040 1703 1703
1 2 2032 2032 2040 1711 2040 2040 1764 1764
1 3 2032 2040 2040 2040 2032 2032 1444 1444
1 4 2040 2040 2040 2040 2040 2040 1716 1716
1 5 2040 2040 1756 2040 2032 2032 2032 2032
1 6 2040 2032 2040 2032 1711 1711 1711 1711
1 7 1720 2032 1764 1764 2040 2040 2040 2040
1 8 2040 2032 2040 2032 2040 2040 1720 1720
1 9 1756 2032 1764 2040 2040 2040 1764 1764
1 10 2040 2032 2040 2040 2040 2040 1603 1603
1 11 2032 2040 2032 1711 1711 1711 1703 1703
1 12 2032 1703 2040 2032 1711 1711 2040 2040
1 13 1764 2040 2032 2032 1764 1764 1756 1756
1 14 2032 2040 2032 2032 1720 1720 2040 2040
1 15 1703 2040 1711 2040 2032 2032 1756 1756
1 16 1703 2032 2040 2040 2040 2040 2040 2040
1 17 2032 2040 2040 2032 2032 2032 1720 1720
1 18 2040 2040 2040 1703 2040 2040 1764 1764
1 19 2032 1764 2032 2032 2032 2032 1703 1703
1 20 2032 2032 1703 2040 2040 2040 1716 1716
2 1 1815 1947 1859 1725 1660 1660 1766 1766
2 2 1901 1937 2036 1725 1939 1939 1932 1932
2 3 2014 1943 1944 2093 1978 1978 2152 2152
2 4 1773 1962 1958 1987 2110 2110 1944 1944
2 5 1750 2016 1922 1993 2094 2094 1750 1750
2 6 1973 2109 2103 2069 1961 1961 1754 1754
2 7 2109 2007 2138 2038 1999 1999 1948 1948
2 8 2109 2066 2053 2148 2113 2113 2105 2105
2 9 1971 2111 1971 2130 1980 1980 2040 2040
2 10 2152 2113 2110 1975 2076 2076 1859 1859
2 11 1915 1950 2089 2097 1948 1948 1958 1958
2 12 2046 2109 2025 1887 1876 1876 1833 1833
2 13 2024 2024 1860 1909 1939 1939 2007 2007
2 14 2037 2147 2118 1907 2103 2103 2066 2066
2 15 2036 2109 2070 1914 2024 2024 1959 1959
2 16 2072 2003 2094 2103 2051 2051 2138 2138
2 17 2152 1919 1973 1956 2011 2011 1996 1996
2 18 2042 1992 2113 2062 2144 2144 2031 2031
2 19 2087 2100 2140 2026 2146 2146 2092 2092
2 20 2005 1643 1848 1926 2086 2086 1898 1898
3 1 2309 2324 2325 2311 2390 2390 2069 2069
3 2 2841 3031 2723 3153 3023 3023 2555 2555
3 3 3150 3137 3218 3042 3136 3136 2455 2455
3 4 3308 3143 3269 3234 3179 3179 3053 3053
3 5 3203 3315 2946 3381 3235 3235 2701 2701
3 6 3338 3313 3362 3259 3133 3133 3048 3048
3 7 3073 3275 3246 3375 3205 3205 3201 3201
3 8 3139 3317 3375 3373 3152 3152 2867 2867
3 9 3339 3162 3356 3116 3378 3378 3336 3336
3 10 3368 3300 3024 3346 3385 3385 3380 3380
3 11 2708 3119 3372 3363 3290 3290 3236 3236
3 12 3273 3368 3287 3213 3361 3361 3185 3185
3 13 3311 3319 3301 3207 3348 3348 3195 3195
3 14 3364 3235 3367 3376 3381 3381 3382 3382
3 15 3386 3173 3374 3376 3365 3365 3335 3335
3 16 3322 3373 3342 3244 3194 3194 3272 3272
3 17 3364 3189 3356 3296 3381 3381 3090 3090
3 18 3356 3287 3120 3355 3387 3387 3226 3226
3 19 3193 3244 3201 3367 3366 3366 3360 3360
3 20 3382 3373 3354 3348 3393 3393 3376 3376
4 1 2069 1912 2071 1931 2498 2498 1814 1814
4 2 3242 3045 2865 2969 3085 3085 3112 3112
4 3 3491 3531 3456 3425 3501 3501 3479 3479
4 4 3568 3569 3640 3574 3564 3564 3542 3542
4 5 3090 3708 3631 3838 3735 3735 3625 3625
4 6 3866 3779 3764 3811 3771 3771 3484 3484
4 7 3777 3765 3762 3560 3784 3784 3603 3603
4 8 3858 3757 3734 3818 3665 3665 3502 3502
4 9 3805 3904 3715 3826 3799 3799 3689 3689
4 10 3750 3776 3784 3803 3709 3709 3344 3344
4 11 3846 3715 3837 3902 3807 3807 3735 3735
4 12 3700 3868 3751 3761 3806 3806 3590 3590
4 13 3785 3810 3734 3830 3794 3794 3588 3588
4 14 3595 3870 3886 3812 3788 3788 3510 3510
4 15 3641 3884 3866 3718 3787 3787 3463 3463
4 16 3887 3810 3783 3914 3729 3729 3705 3705
4 17 3638 3904 3830 3747 3766 3766 3019 3019
4 18 3784 3799 3753 3837 3806 3806 3489 3489
4 19 3790 3714 3791 3734 3916 3916 3827 3827
4 20 3447 3848 3745 3781 3815 3815 3693 3693
5 1 2777 2028 2313 2552 2479 2479 2288 2288
5 2 3430 3782 3571 3513 3622 3622 3256 3256
5 3 4174 4218 4218 4353 4207 4207 4147 4147
5 4 4320 4679 4810 4810 4791 4791 4536 4536
5 5 4833 4983 4977 5038 5038 5038 4776 4776
5 6 5193 5138 5265 5192 5251 5251 5120 5120
5 7 5083 5227 5300 5186 5284 5284 5096 5096
5 8 5181 5312 5251 5296 5269 5269 5026 5026
5 9 5197 5160 5307 5301 5268 5268 5050 5050
5 10 5064 5262 5231 5380 5336 5336 5209 5209
5 11 5244 5270 5323 5234 5347 5347 5096 5096
5 12 5137 5144 5300 5423 5302 5302 5049 5049
5 13 5270 5303 5230 5443 5418 5418 5153 5153
5 14 5246 5353 5245 5448 5383 5383 5059 5059
5 15 5332 5370 5392 5397 5462 5462 5441 5441
5 16 5389 5293 5416 5379 5381 5381 5045 5045
5 17 5293 5368 5337 5449 5384 5384 5109 5109
5 18 5335 5399 5438 5499 5343 5343 4993 4993
5 19 5278 5320 5395 5390 5486 5486 5104 5104
5 20 5247 5278 5409 5348 5294 5294 5066 5066
