																																																													
20	1716	1898	3376	3693	5066	6020	6817	7627	8111	7519	8622	8610	8883	8863	9004	9068	9034	9012	9064	9041	9103	9082	9020	9104	9103	9113	9099	9103		MAX	9125		20	0.1716	0.1898	0.3376	0.3693	0.5066	0.6020	0.6817	0.7627	0.8111	0.7519	0.8622	0.8610	0.8883	0.8863	0.9004	0.9068	0.9034	0.9012	0.9064	0.9041	0.9103	0.9082	0.9020	0.9104	0.9103	0.9113	0.9099	0.9103
19	1703	2092	3360	3827	5104	6099	6933	7707	8269	8414	8562	8652	8929	8905	8992	9032	8962	8970	9014	8280	9108	9009	9109	9049	8957	9047	9120	8938		MIN	1135		19	0.1703	0.2092	0.3360	0.3827	0.5104	0.6099	0.6933	0.7707	0.8269	0.8414	0.8562	0.8652	0.8929	0.8905	0.8992	0.9032	0.8962	0.8970	0.9014	0.8280	0.9108	0.9009	0.9109	0.9049	0.8957	0.9047	0.9120	0.8938
18	1764	2031	3226	3489	4993	5950	7032	7493	8215	8115	8495	8593	8591	8871	8913	8905	8970	9060	9021	9045	8928	9125	9017	9068	8988	9031	9045	8968					18	0.1764	0.2031	0.3226	0.3489	0.4993	0.5950	0.7032	0.7493	0.8215	0.8115	0.8495	0.8593	0.8591	0.8871	0.8913	0.8905	0.8970	0.9060	0.9021	0.9045	0.8928	0.9125	0.9017	0.9068	0.8988	0.9031	0.9045	0.8968
17	1720	1996	3090	3019	5109	6092	7092	7544	8131	8085	8526	7848	8697	8903	8967	8981	8923	9017	8929	8992	9085	9090	8953	9040	9046	9016	9062	9104					17	0.1720	0.1996	0.3090	0.3019	0.5109	0.6092	0.7092	0.7544	0.8131	0.8085	0.8526	0.7848	0.8697	0.8903	0.8967	0.8981	0.8923	0.9017	0.8929	0.8992	0.9085	0.9090	0.8953	0.9040	0.9046	0.9016	0.9062	0.9104
16	2040	2138	3272	3705	5045	5942	7060	7327	8043	8349	8474	8661	8823	8791	8894	8996	8938	8904	9030	9043	8998	9028	9012	9040	8953	9054	8976	9071					16	0.2040	0.2138	0.3272	0.3705	0.5045	0.5942	0.7060	0.7327	0.8043	0.8349	0.8474	0.8661	0.8823	0.8791	0.8894	0.8996	0.8938	0.8904	0.9030	0.9043	0.8998	0.9028	0.9012	0.9040	0.8953	0.9054	0.8976	0.9071
15	1756	1959	3335	3463	5441	6034	6572	7537	8123	8175	8472	8572	8720	8861	9105	8957	8888	8951	8972	8901	9059	8925	8984	9000	9024	9087	8955	8913					15	0.1756	0.1959	0.3335	0.3463	0.5441	0.6034	0.6572	0.7537	0.8123	0.8175	0.8472	0.8572	0.8720	0.8861	0.9105	0.8957	0.8888	0.8951	0.8972	0.8901	0.9059	0.8925	0.8984	0.9000	0.9024	0.9087	0.8955	0.8913
14	2040	2066	3382	3510	5059	6049	7038	7500	8043	8303	8351	8582	8500	8765	8735	9023	8977	8807	9035	8913	8984	8946	8865	8965	8952	9022	8945	9021					14	0.2040	0.2066	0.3382	0.3510	0.5059	0.6049	0.7038	0.7500	0.8043	0.8303	0.8351	0.8582	0.8500	0.8765	0.8735	0.9023	0.8977	0.8807	0.9035	0.8913	0.8984	0.8946	0.8865	0.8965	0.8952	0.9022	0.8945	0.9021
13	1756	2007	3195	3588	5153	6046	6807	7356	8031	8124	8324	8444	8642	8796	8748	8825	8960	8836	8911	8930	8911	8809	8951	8919	8924	8823	9002	8936					13	0.1756	0.2007	0.3195	0.3588	0.5153	0.6046	0.6807	0.7356	0.8031	0.8124	0.8324	0.8444	0.8642	0.8796	0.8748	0.8825	0.8960	0.8836	0.8911	0.8930	0.8911	0.8809	0.8951	0.8919	0.8924	0.8823	0.9002	0.8936
12	2040	1833	3185	3590	5049	5836	6872	7311	7948	8156	8393	8618	8685	8641	8615	8734	8905	8922	8912	8891	8926	8888	8983	8926	8927	8984	8994	8860					12	0.2040	0.1833	0.3185	0.3590	0.5049	0.5836	0.6872	0.7311	0.7948	0.8156	0.8393	0.8618	0.8685	0.8641	0.8615	0.8734	0.8905	0.8922	0.8912	0.8891	0.8926	0.8888	0.8983	0.8926	0.8927	0.8984	0.8994	0.8860
11	1703	1958	3236	3735	5096	5759	6875	7341	7897	7999	8438	8465	8672	8722	8592	8688	8844	8917	8821	8877	8617	8930	8918	8924	8791	8920	8838	8868					11	0.1703	0.1958	0.3236	0.3735	0.5096	0.5759	0.6875	0.7341	0.7897	0.7999	0.8438	0.8465	0.8672	0.8722	0.8592	0.8688	0.8844	0.8917	0.8821	0.8877	0.8617	0.8930	0.8918	0.8924	0.8791	0.8920	0.8838	0.8868
10	1603	1859	3380	3344	5209	5726	6710	7352	7958	7856	8328	8093	8591	8651	8762	8659	8705	8727	8856	8865	8712	8762	8879	8817	8939	8892	8843	8864					10	0.1603	0.1859	0.3380	0.3344	0.5209	0.5726	0.6710	0.7352	0.7958	0.7856	0.8328	0.8093	0.8591	0.8651	0.8762	0.8659	0.8705	0.8727	0.8856	0.8865	0.8712	0.8762	0.8879	0.8817	0.8939	0.8892	0.8843	0.8864
9	1764	2040	3336	3689	5050	5882	6613	7187	7927	7749	8199	8474	8575	8636	8552	8627	8650	8712	8769	8760	8791	8799	8833	8803	8814	8952	8774	8830					9	0.1764	0.2040	0.3336	0.3689	0.5050	0.5882	0.6613	0.7187	0.7927	0.7749	0.8199	0.8474	0.8575	0.8636	0.8552	0.8627	0.8650	0.8712	0.8769	0.8760	0.8791	0.8799	0.8833	0.8803	0.8814	0.8952	0.8774	0.8830
8	1720	2105	2867	3502	5026	5680	6794	7035	7746	7814	8126	8135	8208	8610	8636	8673	8654	8650	8524	8344	8688	8710	8601	8778	8827	8704	8642	8784					8	0.1720	0.2105	0.2867	0.3502	0.5026	0.5680	0.6794	0.7035	0.7746	0.7814	0.8126	0.8135	0.8208	0.8610	0.8636	0.8673	0.8654	0.8650	0.8524	0.8344	0.8688	0.8710	0.8601	0.8778	0.8827	0.8704	0.8642	0.8784
